gene_name	qssm	qupm	reference_label	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L
ETHE1	10	8	131L	1.56319	1.70383	1.33022	1.19247	1.23353	1.36898	0.818159	1.35334	1.04898	1
PDCD6IP	1	1	131L	0.766351	0.794267	0.886675	0.86409	0.608908	0.671069	0.806789	0.969834	0.869567	1
EIF4E	19	6	131L	1.42388	1.54045	1.16238	1.13027	1.19421	1.30678	0.875217	1.37949	1.0466	1
KRT72	1	1	131L	3.12056	1.04799	1.07768	1.50812	1.79073	1.82565	0.859895	4.03423	0.460991	1
ARSA	5	5	131L	1.75313	1.69184	1.37489	1.23411	1.22556	1.42945	0.880844	1.44896	1.10605	1
CNRIP1	1	1	131L	1.37085	1.49989	1.1638	1.05027	1.15774	1.21251	0.721576	1.313	1.00139	1
SERPINH1	41	16	131L	1.4917	1.52393	1.30287	1.17203	1.10283	1.2019	0.742803	1.36955	0.974261	1
SERPINB8	2	2	131L	1.15526	1.21313	0.956789	0.953764	1.06589	1.13182	0.779389	1.1687	1.07508	1
SERPINB9	38	14	131L	1.6874	1.86514	1.42028	1.27678	1.27494	1.36515	0.833555	1.40176	1.11293	1
MAU2	1	1	131L	1.54863	1.44158	1.17662	1.19085	1.23392	1.37762	0.824955	1.2432	1.12526	1
LSM4	19	6	131L	1.34238	1.4141	1.14477	1.06666	1.20118	1.33097	0.840633	1.24372	1.21406	1
C12orf43	4	3	131L	1.78343	1.63774	1.37938	1.14051	1.39569	1.34891	0.928235	1.34108	1.13754	1
MCTS1	12	5	131L	1.47691	1.45413	1.17814	1.10779	1.25615	1.40305	0.910147	1.23055	1.13279	1
PABPC1	7	7	131L	1.59359	1.0807	1.12605	1.0639	0.884297	0.769998	0.74242	1.26056	0.947041	1
NSDHL	3	3	131L	1.39194	1.42862	1.23238	1.45526	1.05321	1.05662	0.676624	1.28239	0.901816	1
FAM175B	22	14	131L	1.51368	1.77261	1.27156	1.2679	1.21063	1.31655	0.812969	1.42035	1.07125	1
SEPT2	67	19	131L	1.52439	1.62937	1.24398	1.3322	1.19756	1.39367	0.810628	1.32366	1.06732	1
CCDC9	6	6	131L	1.23623	1.16077	0.969315	0.987462	0.897394	0.841715	0.762038	1.06435	1.00517	1
USP5	26	17	131L	1.35659	1.50197	1.0467	1.13755	1.09079	0.938309	0.780552	1.10956	1.09478	1
ARPC1B	26	12	131L	1.45138	1.54867	1.34904	1.2479	1.20505	1.33804	0.834556	1.36894	1.0538	1
ARPC2	34	15	131L	1.47448	1.57542	1.23645	1.19455	1.24932	1.43178	0.896691	1.34267	1.08535	1
ARPC3	14	7	131L	1.65475	1.87271	1.24927	1.49503	1.29315	1.59258	0.868439	1.41061	1.07103	1
KDM8	11	9	131L	1.66636	1.83572	1.33278	1.22986	1.28759	1.38887	0.866839	1.38115	1.01723	1
GCDH	9	6	131L	1.52392	1.40835	1.26699	1.17845	1.22587	1.42455	0.87167	1.3125	1.12495	1
KHSRP	43	18	131L	1.45256	1.54791	1.11712	1.12451	1.10741	0.989161	0.834835	1.07739	1.09048	1
RAB11B	16	6	131L	1.45648	1.58382	1.23488	1.0921	1.1529	1.30818	0.848268	1.27017	1.08398	1
UNC119B	2	2	131L	1.26038	1.19638	1.06609	1.00978	1.10631	1.16351	0.763937	1.12621	1.17775	1
SF3B2	5	4	131L	1.47969	1.5613	1.22808	1.31069	1.28654	1.32837	0.985315	1.38045	1.14162	1
UBE2I	5	2	131L	1.98349	2.09089	1.4285	1.49436	1.44947	1.34668	0.842976	1.75226	0.935997	1
ACP2	2	1	131L	1.58075	1.44769	1.03326	1.17541	1.13786	1.16438	0.711848	1.1412	1.02271	1
AIDA	2	2	131L	1.54572	1.47514	1.13211	1.08408	1.22268	1.26459	0.781443	1.37548	1.0184	1
ACAD8	2	2	131L	1.4015	1.54317	1.14956	1.0598	1.17713	1.19569	0.803244	1.2234	1.07906	1
PUSL1	1	1	131L	1.39728	1.5363	1.19825	1.0775	1.18945	1.17635	0.833523	1.23319	0.906712	1
AZGP1	1	1	131L	2.4661	3.44736	1.12067	1.46246	1.1195	2.32277	0.922818	1.95399	1.03735	1
NT5C3B	1	1	131L	0.974199	0.569856	0.902578	0.659776	1.2481	0.772877	0.63382	1.07919	0.857649	1
EIF4A3	13	6	131L	1.64505	1.58281	1.38749	1.2029	1.15469	1.2788	0.787465	1.39522	1.02039	1
CHCHD5	9	6	131L	1.48177	1.53392	1.10802	1.13557	1.21626	1.39439	0.830638	1.26504	1.0953	1
CCDC102A	0	0	131L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NADSYN1	9	7	131L	1.25163	1.52301	1.27834	1.31519	1.12201	1.16806	0.799039	1.42415	1.05251	1
ABHD10	11	7	131L	1.70213	1.66724	1.32689	1.3073	1.21818	1.43733	0.826397	1.44775	0.995664	1
EDF1	20	10	131L	1.65355	1.58841	1.20426	1.36986	1.16077	1.53162	0.751353	1.41717	0.897757	1
RAP1GDS1	0	0	131L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NLE1	7	6	131L	1.60267	1.55932	1.4067	1.30233	1.28408	1.35998	0.870744	1.3676	1.15651	1
COL1A1	1	1	131L	2.5993	3.1046	1.99069	0.724153	1.61147	1.75547	1.00279	1.81766	1.53784	1
KBTBD4	3	3	131L	1.38779	1.38768	1.15899	1.10903	1.10978	1.294	0.802678	1.32945	1.1116	1
MAPT	5	5	131L	1.7059	1.84057	1.14178	1.57347	1.23142	1.49066	0.772652	1.37006	0.928196	1
C8orf33	1	1	131L	0.229796	0.300127	0.58964	0.970133	0.529675	0.473284	0.658409	0.961013	1.20582	1
PDE12	10	10	131L	1.86906	2.06075	1.48334	1.34793	1.31109	1.19886	0.847771	1.48583	0.978223	1
CMC1	1	1	131L	1.94655	2.26119	1.89789	1.53418	1.47593	1.2682	0.95529	1.83604	1.23606	1
TNFRSF8	6	4	131L	1.41647	1.34174	1.0645	1.06404	1.07961	1.28368	0.839571	1.09364	1.29082	1
MITD1	1	1	131L	1.32511	1.37806	1.30527	0.981736	1.15582	1.28199	0.840882	1.28321	1.10241	1
NUMA1	2	2	131L	1.00111	0.89366	0.995991	0.815717	0.947169	0.79361	0.737427	0.988494	0.889841	1
RPE	7	5	131L	1.85738	2.15481	1.60522	1.4545	1.33287	1.3907	0.869244	1.63801	1.12414	1
KIAA1143	9	5	131L	1.60389	1.62553	1.15325	1.28537	1.21856	1.40281	0.850948	1.34765	1.12248	1
ADI1	3	3	131L	1.24943	1.16283	1.02815	0.877229	1.09697	1.18434	0.865672	1.26098	1.16082	1
SPECC1	2	2	131L	1.04796	1.29481	0.978795	1.02643	1.03764	1.07948	0.852481	0.862047	1.13353	1
M6PR	1	1	131L	0.838127	0.925012	1.03917	0.888388	0.892856	0.860209	0.825816	1.03465	1.1533	1
DTD1	13	7	131L	1.28223	1.44861	1.15183	1.11865	1.14134	1.30976	0.800732	1.24543	1.08518	1
NSUN6	9	7	131L	1.43409	1.47333	1.19676	1.19242	1.17622	1.27971	0.831952	1.34914	1.0646	1
DARS2	26	16	131L	1.6721	1.9268	1.31988	1.29837	1.23744	1.41792	0.83723	1.37528	1.06565	1
RPS6KA3	1	1	131L	0.956662	0.958754	1.1134	1.32353	0.834831	0.804251	0.908747	1.72404	1.18919	1
RPS5	3	3	131L	0.565163	0.846732	1.08336	1.02724	0.744249	0.694096	0.916713	1.15391	1.09677	1
ZAK	2	2	131L	1.06077	1.1126	1.21864	0.911142	0.973892	1.06298	0.747886	1.02664	0.927688	1
TMOD3	3	2	131L	1.19191	1.40715	1.39759	1.27508	0.978894	0.944873	0.873075	1.53959	1.03176	1
C15orf57	3	3	131L	1.7056	1.59849	1.31972	1.1786	1.29216	1.36094	0.888632	1.30586	1.06571	1
UBAP2L	15	7	131L	1.93546	1.96514	1.56465	1.52588	1.5043	1.33471	1.05603	1.42902	1.21235	1
EIF3A	10	6	131L	0.992049	1.09847	1.00957	0.924406	0.970353	1.0451	0.757791	1.12437	1.01764	1
FAM53B	1	1	131L	1.24561	1.39868	1.26273	1.03051	1.13709	1.27393	0.907856	1.20726	1.51308	1
SAFB2	1	1	131L	2.19043	2.13287	1.52307	1.54923	1.08633	1.19434	0.670608	1.34697	0.964035	1
MOCS1	4	4	131L	1.53336	1.55483	1.2565	1.14199	1.35269	1.40759	0.879068	1.37563	1.14255	1
BUD13	5	4	131L	1.25158	1.32492	1.11453	1.02951	1.07698	1.16306	0.839866	1.28143	1.06097	1
TPM3	1	1	131L	1.96456	2.04411	1.52178	1.31855	1.45674	1.72129	1.02417	1.5592	1.23651	1
LYSMD1	1	1	131L	1.71853	1.96602	1.42419	1.24566	1.25473	1.35865	0.836469	1.58583	1.07317	1
RASSF5|FLJ00186	2	2	131L	1.16622	1.35546	1.09306	1.15828	1.07329	1.24747	0.851682	1.15655	0.970005	1
DHRS4	12	7	131L	1.41823	1.41422	1.17221	1.17393	0.932253	1.17081	0.689322	1.16659	0.989941	1
NT5DC2	11	9	131L	1.38575	1.51344	1.20609	1.14235	1.17424	1.273	0.822547	1.30001	1.0596	1
TUBA4B	0	0	131L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KIF28P	1	1	131L	1.64216	1.78855	1.42785	1.48731	1.21515	1.25664	0.885002	1.13805	1.1842	1
KLHDC3	1	1	131L	1.42139	1.59347	1.22088	1.18833	1.12519	1.24447	0.708309	1.27968	0.911403	1
MAVS	2	2	131L	1.33531	1.32083	1.11089	1.19568	1.01408	1.31471	0.778472	1.12787	0.960426	1
UQCRFS1P1|UQCRFS1	2	2	131L	1.87338	1.82325	1.42613	1.37388	1.26995	1.47086	0.888693	1.60326	1.09981	1
PI4KB	2	2	131L	1.33115	1.55893	0.956054	1.25708	1.17269	1.16173	0.779294	1.22657	0.999912	1
COPG2	13	11	131L	1.20175	1.26205	1.08185	1.12602	0.987083	0.949904	0.761145	1.39369	0.987066	1
MAGEC2	11	6	131L	1.49355	1.50357	1.0911	1.22848	1.12042	1.34753	0.828227	1.39271	1.11737	1
RNF7	1	1	131L	1.63405	1.65516	1.29857	1.2777	1.29824	1.43783	0.830756	1.42385	1.11097	1
FAM207A	1	1	131L	0.967858	1.0643	0.836239	0.777977	0.891445	0.854349	0.799523	0.871128	1.10071	1
XPO5	2	2	131L	0.95125	1.1993	1.04133	1.1059	0.840206	0.768531	0.814534	1.26974	1.04475	1
SAMSN1	4	3	131L	1.62913	1.64406	1.28211	1.25623	1.18843	1.30989	0.890379	1.3857	1.05931	1
EIF2S1	26	13	131L	1.28961	1.36366	1.19333	1.09909	1.09964	1.20954	0.837598	1.2738	1.05418	1
G3BP1	2	2	131L	1.47606	1.78793	1.22132	1.48579	1.09024	1.15107	0.79298	1.45654	1.06817	1
NMI	18	13	131L	1.67775	1.61685	1.29552	1.1944	1.27319	1.35442	0.9139	1.39982	1.15715	1
FLNA	38	29	131L	1.38137	1.34257	1.00513	1.24908	1.1184	1.10322	0.826308	1.10009	1.00717	1
PCK2	27	18	131L	1.48729	1.57277	1.21323	1.12745	1.23745	1.2338	0.839973	1.51823	1.0009	1
NUDT16	12	7	131L	1.47812	1.58209	1.29816	1.21949	1.2693	1.48653	0.829574	1.34844	1.10033	1
CXorf40A|CXorf40B	2	2	131L	1.25602	1.19762	1.0232	0.956246	0.999013	1.23647	0.779101	0.915427	0.850858	1
ACADVL	33	19	131L	1.73201	1.91474	1.41388	1.43372	1.25841	1.40917	0.861056	1.42261	1.09674	1
SF3A2	0	0	131L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAFB	3	3	131L	1.78576	1.83475	1.31138	1.50612	1.13381	1.11089	0.808728	1.35438	1.07254	1
EIF4A1	8	6	131L	1.41856	1.45014	1.79293	1.00824	1.18741	1.20167	0.717312	2.28053	1.00328	1
GHDC	1	1	131L	1.78804	1.48942	1.03253	0.792689	1.83441	1.48493	0.47687	0.9869	1.41594	1
GAA	3	3	131L	1.38372	1.58561	1.12387	1.15814	1.13402	1.12391	0.734017	1.25557	1.0523	1
SORD	17	8	131L	1.64651	1.678	1.25621	1.21544	1.17106	1.28643	0.822454	1.30761	1.07742	1
CAB39	45	14	131L	1.7331	1.80683	1.37765	1.28448	1.24621	1.41131	0.866909	1.34098	1.05854	1
ATP1A1	7	6	131L	0.748915	0.963146	1.10598	1.8076	0.630185	0.698048	0.63379	0.931529	0.980993	1
PLRG1	3	3	131L	1.59832	1.88349	1.4428	1.28054	1.3068	1.29178	0.869543	1.7511	1.12822	1
COPZ1	1	1	131L	1.47761	1.84974	1.09173	1.13775	1.16431	1.14047	0.90268	1.02895	1.23329	1
RGS10	1	1	131L	2.02134	2.34666	1.47062	1.32425	1.19486	1.32284	0.789831	1.60736	0.938083	1
PRDX2	48	12	131L	1.52186	1.7642	1.25183	1.43733	1.18564	1.38678	0.782354	1.30507	0.996774	1
TMEM167B	1	1	131L	1.15669	1.25706	1.22017	1.35705	1.06851	1.28515	0.903017	1.2981	1.10453	1
REPIN1	28	14	131L	1.33137	1.39418	1.2453	1.4122	0.934753	1.20978	0.885874	1.44809	1.20505	1
MCM5	50	20	131L	1.44151	1.56012	1.20666	1.18127	1.14953	0.992425	0.833836	1.29156	1.02543	1
MCM7	6	6	131L	0.767352	0.873065	0.883366	0.964258	0.756966	0.68414	0.707392	2.25586	1.08146	1
MCM4	12	10	131L	0.978838	1.09974	0.934464	1.0411	0.895097	0.85241	0.707218	1.65989	1.01202	1
C17orf75	2	2	131L	1.54791	1.42601	1.42611	1.04428	1.02321	1.21809	0.836684	1.22285	0.985147	1
CANX	3	3	131L	1.06788	1.13861	1.17818	1.22051	0.823619	0.939871	0.786442	1.46336	1.01623	1
PHACTR4	10	7	131L	1.51429	1.45062	0.963	1.18494	0.880824	0.992129	0.797132	0.981743	1.05414	1
SPEN	5	4	131L	1.58104	1.72357	1.22284	1.16078	1.2599	1.38832	0.877992	1.30809	1.09763	1
UTP14A	6	6	131L	1.27873	1.39794	1.11691	1.25567	1.05525	1.10113	0.784631	1.16858	1.04891	1
CHP1	2	1	131L	1.33986	1.40308	1.26475	1.12201	1.13122	1.10916	0.824428	1.27079	1.0971	1
LGALS1	28	7	131L	1.22473	1.2053	1.04627	1.02259	1.10379	1.17006	0.828226	1.12935	1.03663	1
AHCYL2	4	3	131L	1.6763	1.43749	1.19886	1.18641	1.24323	1.48847	0.872196	1.37387	1.05475	1
ACIN1	8	8	131L	1.76537	1.82533	1.24978	1.46556	1.45343	1.37068	1.00207	1.35434	1.23156	1
HMGN5	15	10	131L	1.45932	1.24768	1.04517	1.18104	1.04986	1.34199	0.750068	1.48585	1.03026	1
SARNP	29	12	131L	1.85845	1.86107	1.52655	1.29163	1.3706	1.49611	1.0085	1.52223	1.22264	1
CYFIP2	8	7	131L	1.7246	2.04775	1.42768	1.77882	1.45844	1.28409	0.991395	1.31854	1.27027	1
N6AMT1	1	1	131L	0.94666	0.818457	0.894525	0.782254	0.985858	1.3691	0.822956	0.859557	0.938097	1
MED23	5	5	131L	1.37995	1.64497	1.18187	1.33715	1.14505	1.20326	0.820298	1.13674	1.05594	1
PIR	2	1	131L	1.61679	1.59942	1.22608	1.26254	1.30005	1.44543	0.860503	1.42456	1.08028	1
KPNA4	17	12	131L	1.47116	1.60308	1.23434	1.15285	1.2284	1.36857	0.877116	1.26775	1.06432	1
PEX7	1	1	131L	1.17766	1.31964	1.1601	0.993994	1.01478	1.14744	0.87764	1.0291	1.34088	1
CCT6A	59	20	131L	1.03582	1.2607	1.16789	1.22126	0.989105	1.19162	0.796582	1.1638	1.01347	1
TXLNA	17	14	131L	1.39014	1.44806	1.11411	1.09683	1.11545	1.06404	0.799722	1.37794	1.02412	1
LSM5	5	1	131L	1.61055	1.6228	1.27095	1.26164	1.22267	1.32787	0.806893	1.31607	1.04578	1
CCDC94	4	3	131L	1.14774	1.20678	1.15454	1.01325	1.15347	1.13951	0.795357	1.21992	0.987047	1
IFT27	2	2	131L	1.39502	1.57209	1.1607	1.18539	1.15555	1.2438	0.842732	1.24331	1.21136	1
RPS27A	3	2	131L	0.771493	1.21354	1.26445	1.38853	0.809869	0.761852	0.892136	1.51505	1.06268	1
RNF168	1	1	131L	1.01737	1.14648	0.965946	0.87718	1.03916	1.1092	0.811881	0.910736	1.01367	1
GGNBP2	1	1	131L	1.2835	1.26447	0.859088	0.900234	0.943098	0.727185	0.801199	0.953801	0.998501	1
SMU1	1	1	131L	1.26316	1.15283	1.20879	0.970953	1.14811	1.13344	0.802826	1.26087	0.944752	1
CTPS2	15	11	131L	1.393	1.60676	1.2678	1.17135	1.12874	1.27201	0.828686	1.25659	1.04354	1
POLE3	4	3	131L	1.76493	1.59713	1.34233	1.25492	1.25077	1.45388	0.797672	1.54118	1.05133	1
MPLKIP	1	1	131L	0.939292	0.923963	1.02837	0.857708	1.1887	1.29688	0.888989	1.28766	1.13175	1
ETF1	3	3	131L	1.68607	1.86194	1.65262	1.31483	1.20555	0.980768	0.812084	2.2667	0.979099	1
PPP1CB	12	5	131L	1.35129	1.51054	1.17251	1.04885	1.12128	1.19427	0.831197	1.21005	1.08471	1
ANXA3	9	9	131L	1.78174	1.89694	1.51991	1.27491	1.26769	1.22585	0.817403	1.72114	0.94568	1
ZSCAN26	3	2	131L	1.56987	1.76536	1.33394	1.32691	1.28566	1.32129	0.852732	1.38009	1.08293	1
PGAM5	2	2	131L	1.06843	1.28718	1.13304	0.995119	0.972958	1.07264	0.704387	1.13062	0.985966	1
CLEC16A	8	7	131L	1.48763	1.6424	1.17766	1.4783	1.24421	1.1428	0.835991	1.14982	1.37885	1
NPEPPS	36	21	131L	1.85644	1.92874	1.21323	1.3142	1.32711	0.930385	0.859749	1.20662	1.02499	1
MECP2	2	2	131L	0.906782	1.15656	0.88889	0.984112	0.864914	0.965605	0.784023	1.10565	1.09243	1
HDDC2	18	6	131L	1.59167	1.55406	1.42515	1.28633	1.28204	1.46811	0.80455	1.46811	1.04928	1
RENBP	5	5	131L	1.49977	1.6806	1.13228	1.16125	1.24664	1.31887	0.899285	1.2996	1.11374	1
HSPA6	0	0	131L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MRE11A	23	15	131L	1.72489	1.80603	1.37137	1.41624	1.28147	1.27046	0.889006	1.46298	1.10241	1
CLTC	7	7	131L	0.940356	1.08431	1.08	1.29606	0.888258	0.860937	0.87606	1.37223	1.11217	1
MKLN1	10	7	131L	1.2357	1.24586	1.10489	1.09531	1.01074	1.00415	0.766426	1.27234	1.02777	1
WBP2	15	4	131L	1.48704	1.52422	1.26986	1.17526	1.17781	1.2729	0.855597	1.33779	1.09674	1
JMJD6	1	1	131L	1.20239	1.31138	1.12677	1.09788	0.946762	0.893017	0.74055	1.17217	0.862533	1
PPP1R18	5	4	131L	0.919258	1.07606	0.923396	0.992219	0.88624	0.885197	0.770127	0.979237	0.994757	1
FLOT1	0	0	131L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDK2AP2|CDK2AP1	1	1	131L	1.78495	1.99353	1.14783	1.19403	1.52416	1.33459	0.723543	1.79593	1.18514	1
GOLGA2	2	2	131L	1.21718	1.07977	1.12551	0.992788	0.87339	0.777069	0.766114	1.06439	1.02775	1
GOLGA3	16	15	131L	1.53335	1.61285	1.15746	1.39543	1.31048	1.18235	0.943729	1.31487	1.14432	1
RBBP4	25	9	131L	1.43456	1.41363	1.2171	1.06703	1.20069	1.34805	0.886647	1.28371	1.13785	1
NCOR1	1	1	131L	1.75034	1.71586	1.30525	1.58993	1.39431	1.17869	0.971596	1.27175	1.22261	1
ALMS1	2	2	131L	1.22661	1.36404	1.09697	1.14848	1.1839	1.32022	0.877886	1.16314	1.26648	1
CEP85	1	1	131L	1.05797	1.0526	0.962558	0.885277	0.92698	1.10619	0.750991	0.944437	0.971318	1
PTMA	31	6	131L	1.10844	0.995809	0.823291	1.11928	0.897778	1.41225	0.707016	0.82211	0.953421	1
SEC62	0	0	131L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADSL	56	18	131L	1.53742	1.64731	1.29773	1.27687	1.23557	1.42517	0.847635	1.37051	1.12101	1
ELP5	3	2	131L	1.28146	1.6149	1.38702	1.27356	1.03026	1.08935	0.771099	1.39019	1.03296	1
DUSP23	10	7	131L	1.47276	1.61201	1.17044	1.12582	1.1344	1.24674	0.810402	1.22591	1.02945	1
LARP4B	2	2	131L	1.65186	1.66835	1.18141	1.18748	1.29926	1.25665	0.801333	1.21079	1.00269	1
EPN1	6	5	131L	1.37945	1.34043	0.945098	1.16193	1.14645	1.13026	0.833923	1.12951	1.03614	1
HEXDC	3	3	131L	0.903263	0.896153	1.02773	0.987765	0.957189	1.19911	0.697855	0.944329	0.971713	1
PRCP	16	7	131L	1.67445	1.59773	1.41065	1.38442	1.21029	1.37533	0.854939	1.45961	1.08758	1
AHSA1	4	4	131L	1.35472	1.39038	1.21202	1.09889	0.984897	0.972412	0.736362	1.8273	1.02392	1
PCYT2	41	19	131L	1.49032	1.69465	1.28423	1.19122	1.22722	1.3322	0.889351	1.31163	1.1244	1
MDH1	51	12	131L	1.66364	1.78089	1.31471	1.40656	1.27277	1.49677	0.853135	1.41018	1.15684	1
MDH2	212	22	131L	1.59524	1.68695	1.2392	1.23825	1.24636	1.46101	0.863167	1.3543	1.0738	1
RBM14	1	1	131L	0.987133	0.764447	0.962918	0.869139	1.07782	1.39144	0.935507	1.06507	1.2	1
IGLC3|IGLC2	1	1	131L	4.41701	9.215	0.730564	2.16608	0.787573	1.98487	0.660799	1.66861	0.888163	1
ABCF1	1	1	131L	0.22229	0	0.199376	0.804313	0.967016	1.1615	1.22184	0.583699	0.987169	1
NUDT16L1	1	1	131L	1.90751	2.26554	2.11164	1.29433	1.25368	1.14896	0.896424	1.8558	1.33278	1
NDUFAF5	5	5	131L	2.22846	1.74635	1.36432	1.20814	1.07516	1.11356	0.787667	1.17669	1.08618	1
RCN3	4	4	131L	1.40264	1.48842	1.22226	1.07265	1.08031	1.19978	0.823415	1.28075	1.05674	1
TP53BP1	8	8	131L	1.62852	1.49026	1.05688	1.31555	1.29369	1.26456	0.918797	1.11604	1.09094	1
UQCRB	3	3	131L	1.72117	1.38175	1.06892	1.1394	1.24833	1.58408	0.818715	1.53622	1.18608	1
RTN3	7	5	131L	1.34677	1.5692	1.38151	1.40738	1.21188	1.39134	0.902308	1.22489	1.09805	1
SUB1	35	11	131L	1.51865	1.67215	1.0902	1.50508	1.11572	1.32765	0.730877	1.25792	0.912685	1
IST1	3	3	131L	1.70761	1.792	1.48217	1.16502	1.20294	1.39686	0.861032	1.59453	1.27435	1
SEC24C	1	1	131L	0.938572	0.963946	1.02691	0.953636	1.00462	1.11	0.696413	1.11521	1.06849	1
CCT2	142	31	131L	1.13336	1.31237	1.27743	1.26551	1.03652	1.27404	0.793519	1.25516	0.989565	1
PPM1G	2	2	131L	1.13265	0.993491	1.04583	0.83965	0.996777	1.0081	0.767525	1.27112	1.241	1
CCT7	125	24	131L	1.22284	1.509	1.33532	1.28389	1.03082	1.1606	0.792123	1.29626	1.0308	1
HNRNPAB	20	11	131L	1.25699	1.39673	1.24171	1.16865	1.16924	1.26545	0.858193	1.27286	1.06943	1
NUDT6	3	3	131L	1.50724	1.82461	1.52897	1.20729	1.22595	1.1702	0.851958	1.55653	1.10675	1
YBX1	21	10	131L	0.822581	1.1387	1.12435	1.22507	0.916397	0.981044	0.842544	1.12863	1.06911	1
DPH3	1	1	131L	2.04614	1.98568	1.41315	1.43252	1.40532	1.6482	0.879811	1.5229	1.08181	1
AGK	4	4	131L	1.7259	1.72873	1.22599	1.55437	1.22166	1.3425	0.785935	1.29951	1.1437	1
FANCL	1	1	131L	1.16514	1.16725	1.02993	1.07588	1.33044	1.14949	0.948179	1.20237	1.44105	1
GLB1	19	9	131L	1.64067	1.70438	1.23691	1.30366	1.27041	1.42348	0.82169	1.37956	1.07277	1
RPS14	4	4	131L	0.733877	0.866373	1.04484	1.04718	0.81843	0.909926	0.839872	1.08421	1.04969	1
RPS18	12	7	131L	0.53008	0.743275	1.02523	1.03808	0.650217	0.715886	0.846421	1.02899	1.25331	1
CARD8	4	4	131L	1.3833	1.47447	1.07916	1.1829	1.15651	1.30676	0.781083	1.2412	0.969707	1
SSRP1	10	8	131L	1.69897	1.58666	1.07567	1.21988	1.14439	0.986806	0.81739	1.36648	0.981231	1
EWSR1	8	5	131L	1.50023	1.81682	1.25754	1.43674	1.11716	0.998465	0.951543	1.22301	1.13016	1
SRP19	2	2	131L	1.55468	1.49055	1.13729	1.15022	1.15776	1.34555	0.767376	1.22027	1.11849	1
DMTN	5	3	131L	1.59196	1.64845	1.31549	1.34845	1.30435	1.45929	0.841021	1.45863	1.04242	1
RPL22	6	4	131L	0.557157	0.521308	0.91121	1.07596	0.738733	0.932598	0.917146	0.929021	1.06262	1
SNX3	4	2	131L	0.798476	0.964129	1.72189	0.992101	0.998605	0.804242	0.584621	0.904496	0.7425	1
NAP1L1	0	0	131L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ESYT2	1	1	131L	0.883389	1.17891	0.825141	1.01562	0.899795	1.55258	0.835408	1.0048	0.639085	1
LRRC59	3	2	131L	1.3799	1.2249	1.16816	1.13709	1.02731	1.31806	0.731795	1.37448	1.01822	1
FDX1L	1	1	131L	1.61826	2.28964	1.26855	1.50631	1.32627	1.24343	0.605418	1.87091	0.824551	1
RRM2B	9	6	131L	1.74303	1.7983	1.48344	1.31757	1.29669	1.43817	0.929522	1.5172	1.11832	1
MAPKAPK5	1	1	131L	1.55252	1.70304	1.27199	1.19898	1.12582	1.28712	0.777213	1.55037	1.06048	1
TWF2	8	6	131L	1.82916	1.99589	1.58009	1.59426	1.49223	1.40305	0.929827	1.60088	1.04177	1
KIF5B	3	3	131L	0.814281	1.00802	1.67049	0.961084	0.758681	0.581503	0.655191	1.12322	0.849939	1
CCDC174	10	7	131L	1.46759	1.47018	1.10806	1.18323	1.23545	1.49673	0.85349	1.33768	1.1709	1
C4orf33	3	3	131L	1.31859	1.20449	1.01643	0.879069	1.02384	1.17981	0.746129	1.18913	1.0667	1
TIA1	3	2	131L	1.45819	1.31855	1.1616	1.10835	1.24492	1.40752	0.832461	1.23613	1.10792	1
CHMP2B	7	4	131L	1.43463	1.55641	1.26617	1.10131	1.22093	1.26559	0.877033	1.39151	1.13506	1
NA	4	3	131L	1.71853	1.66032	1.17982	1.14091	1.31607	1.58705	0.851518	1.39743	1.03684	1
SRP14	6	4	131L	1.68183	1.88838	1.67948	1.38907	1.21025	1.18818	0.835304	1.51513	1.02585	1
JUP	6	6	131L	1.35806	1.62667	1.12111	1.04636	1.32501	1.44512	0.962215	1.44231	1.15338	1
HERC4	1	1	131L	1.28364	1.44453	0.969967	1.33967	0.998261	0.773722	0.582204	1.97442	1.04761	1
PCBD2	3	3	131L	1.1846	1.09968	0.958809	0.864912	1.02353	1.24723	0.830884	0.972558	1.0029	1
HMGN1	6	4	131L	1.12096	1.76396	1.024	1.30344	1.10501	1.15801	0.583309	1.57553	0.849884	1
RBM17	6	5	131L	1.27592	1.26535	1.07684	1.11	1.07198	1.11933	0.849705	1.12495	19.4811	1
PYGO2	1	1	131L	1.30925	1.38222	1.09196	1.17652	0.934362	1.36426	0.703567	1.21005	0.764636	1
HNRNPF	2	2	131L	1.00701	0.913564	1.18215	0.88795	0.798699	0.913253	0.684918	1.37264	0.803752	1
AGFG1	7	5	131L	1.57095	1.63718	1.28978	1.19142	1.19207	1.23057	0.763092	1.46977	0.998199	1
DCUN1D1	2	2	131L	1.62498	1.77484	1.45993	1.22299	1.17199	1.122	0.758031	1.55528	0.96001	1
